space,,,,,,,,,,,,
addAccused,1,Caitlin,Ritter,14/03/2007,32387 Martin Court Suite 700,(424)976-9780x5726,hollandanthony@jones-perkins.com,M,"Social research officer, government",,,
addAccused,2,Michelle,Flores,18/07/2014,769 Kiara Alley,+1-216-558-8128x2062,thomasscott@yahoo.com,M,"Nurse, adult",,,
addAccused,3,Alexandra,Dorsey,3/10/1992,572 Joshua Valley,(261)790-3596x520,sandra89@gonzales-wright.com,M,Solicitor,,,
addAccused,4,Michelle,Gray,13/09/1989,8961German Colony,001-294-935-0983x2910,charles24@gmail.com,F,Lawyer,,,
addAccused,5,John,Martinez,20/11/2002,6104 Hadar,1012991939,opatterson@yahoo.com,F,Publishing copy,,,
addAccused,6,Richard,Murphy,13/09/2010,623Carmel Center,4731895594,madams@williams.com,M,"Sales professional, IT",,,
addAccused,7,Laura,Neal,13/12/1998,289  German Colony,001-403-137-9978x0498,stevechandler@marks.com,F,Jewellery designer,,,
addAccused,8,Amy,Sellers,12/1/1997,662Downtown Haifa,564.034.0354x178,wjames@mahoney.com,M,"Accountant, chartered management",,,
addAccused,9,Andrew,Roman,12/2/1995,690Kiryat Eliezer,475.514.7693x35633,michael42@yahoo.com,M,Health and safety inspector,,,
addAccused,10,Allison,Elliott,14/03/1993,18469Neve Sha'anan,878.162.2820,vmurray@pearson.org,F,Careers adviser,,,
addAccused,11,Russell,Warren,14/04/1991,5067Kiryat Shmuel,(726)446-2066x8816,mcneilterri@hotmail.com,F,Seismic interpreter,,,
addAccused,12,John,Gilmore,14/05/1989,59928Ramat HaNasi,336.660.8130x64543,zford@wagner-chan.com,F,Chartered management accountant,,,
addAccused,13,Ryan,Singh,22/08/1986,32387 Martin Court Suite 700,5016245424,leegentry@collier-day.com,M,Museum/gallery curator,,,
addAccused,14,Bill,Mcdowell,5/9/2001,769 Kiara Alley,(226)451-8100x365,christina06@gmail.com,F,Land,,,
addAccused,15,Natalie,Mccormick,9/2/2003,572 Joshua Valley,(116)825-8582x87776,fsilva@yahoo.com,F,"Accountant, chartered",,,
addAccused,16,Daryl,Blackwell,23/06/1999,8961German Colony,(591)246-5400x66126,thomaslowe@yahoo.com,F,Politician's assistant,,,
addAccused,17,Micheal,Melton,1/1/2000,6104 Hadar,209.790.2509,powersjessica@hotmail.com,M,"Psychologist, prison and probation services",,,
addAccused,18,Emily,Young,11/11/1994,623Carmel Center,370-162-5066,cookgary@vargas-jones.biz,F,"Engineer, broadcasting (operations)",,,
addAccused,19,Brian,Mason,15/07/1988,289  German Colony,138-886-2374x668,qramos@berg.com,F,"Editor, magazine features",,,
addAccused,20,Mario,Miller,18/12/1990,662Downtown Haifa,692066640,haleandrew@martin.com,M,Theatre stage manager,,,
addAccused,21,Amy,Jacobs,19/05/2004,690Kiryat Eliezer,137066379,owennatalie@gilmore.com,M,Energy engineer,,,
addAccused,22,Christopher,Mendez,21/04/1996,18469Neve Sha'anan,904.785.4644x44057,wlane@hotmail.com,F,Prison officer,,,
addAccused,23,John,Henry,12/10/1992,5067Kiryat Shmuel,+1-551-454-0774x39446,robert82@gmail.com,F,Mental health nurse,,,
addAccused,24,Jenny,Walker,8/9/2008,59928Ramat HaNasi,(786)667-5699x0542,nicole99@gmail.com,M,Chartered loss adjuster,,,
addAccused,25,Sharon,Brooks,30/10/1985,32387 Martin Court,001-183-214-9882x05975,huffmanmark@hotmail.com,M,Broadcast presenter,,,
addJudge,26,Christopher,Huber,15/05/1959,32387 Martin Court Suite 700,442.446.3755,volson@gmail.com,M,traffic,2817,89674.32,8
addJudge,27,Gregory,Lawson,7/3/1976,769 Kiara Alley,775-219-0960x175,rebecca19@gmail.com,M,traffic,8336,102053.61,31
addJudge,28,Charles,Smith,14/06/1959,572 Joshua Valley,221-920-2496,cruzdanny@thomas.com,M,medicalMalpractice,7976,53482.49,5
addJudge,29,Ashley,Grant,24/09/1963,8961German Colony,200-880-4556,ckennedy@gibson-cole.org,M,criminal,8873,74192.73,35
addJudge,30,John,Keith,19/03/1966,6104 Hadar,001-117-205-8903x3310,kortiz@patton-cole.com,M,realEstate,1863,106419.13,33
addJudge,31,William,Morse,13/10/1987,623Carmel Center,+1-136-178-8310x2701,sarahflores@allison.info,M,contractLaw,7581,66279.14,16
addJudge,32,Jessica,Walker,21/01/1988,289  German Colony,001-648-191-0121x02462,fsalazar@yahoo.com,F,traffic,2179,83453.65,21
addJudge,33,Peter,Collins,23/04/1967,662Downtown Haifa,+1-499-236-8065x035,roy72@yahoo.com,M,traffic,7413,97059.11,33
addJudge,34,Rachel,Morgan,21/07/1955,690Kiryat Eliezer,001-842-553-1706,qcastaneda@yahoo.com,F,copyright,2841,112219.65,15
addJudge,35,Jesus,Garcia,10/4/1962,18469Neve Sha'anan,(072)766-9560,michaelgrant@gmail.com,F,contractLaw,2675,111234.36,19
addJudge,36,Adam,King,14/11/1964,5067Kiryat Shmuel,+1-636-727-1962x22806,bgay@mcclure-molina.com,F,medicalMalpractice,7753,102697.38,31
addJudge,37,David,Fuller,17/12/1977,59928Ramat HaNasi,(722)460-7062x923,paulflores@gmail.com,M,traffic,3640,106358.46,30
addJudge,38,Nicole,Gill,27/04/1983,32387 Martin Court Suite 700,777.555.8001x0842,dwilliams@hotmail.com,M,contractLaw,6712,78302.6,29
addJudge,39,Holly,Carlson,22/01/1988,769 Kiara Alley,948-706-0612x0013,charles13@riley.com,M,criminal,6464,119244.94,9
addJudge,40,Abigail,Barrett,10/4/1958,572 Joshua Valley,249-674-4878x6289,howelljessica@campbell.com,M,damages,6132,52437.74,33
addJudge,41,Kristina,Ramirez,4/2/1994,8961German Colony,+1-808-380-1922x47461,stevenschneider@hughes-livingston.com,F,family,3285,101847.08,18
addJudge,42,Andrew,Rodriguez,29/03/1991,6104 Hadar,118-515-3385x70582,gdixon@gmail.com,F,realEstate,9018,82869.46,17
addJudge,43,Cynthia,Kelly,12/7/1991,623Carmel Center,(207)410-4783,crystalwelch@hotmail.com,F,copyright,5487,118739.02,13
addJudge,44,Douglas,Fox,27/05/1975,289  German Colony,978.618.0028x4852,mirandacarol@tyler-ball.com,M,family,7633,114564.01,31
addJudge,45,Kevin,Trevino,19/03/1989,662Downtown Haifa,(248)601-5796x86554,crichards@marshall-shepard.info,M,damages,9151,67405.09,6
addJudge,46,Robert,Taylor,19/02/1966,690Kiryat Eliezer,(432)832-7678,brian29@burns.com,M,family,3850,64826.03,14
addJudge,47,Jeffrey,Frey,6/12/1957,18469Neve Sha'anan,6159507851,earl83@scott.biz,F,realEstate,2883,97098.46,10
addJudge,48,Joseph,Wagner,8/3/1986,5067Kiryat Shmuel,310.518.5041x3902,changkevin@smith-brock.biz,M,family,5515,96865.76,17
addJudge,49,Sara,Prince,7/12/1963,59928Ramat HaNasi,(626)062-7335,dana43@hotmail.com,F,traffic,5521,85355.26,33
addJudge,50,Steven,Austin,7/7/1960,32387 Martin Court,(306)979-9573x07191,icherry@gmail.com,F,traffic,3496,102759,11
addLawyer,76,Sabrina,Sanders,10/12/1975,769 Kiara Alley,8348109390,christopher23@stout-reyes.com,F,copyright,1760,86600.27,
addLawyer,77,Traci,Douglas,11/3/1997,572 Joshua Valley,740-774-6583x805,kylethomas@cross-ford.com,F,realEstate,2493,75587.19,
addLawyer,78,Ashley,Castillo,11/12/1995,8961German Colony,001.350.0916,elizabethpeterson@ochoa.org,M,copyright,5311,122684.77,
addLawyer,79,Melissa,Velazquez,20/07/1988,6104 Hadar,+1-270-591-5446x6241,johnlawson@chandler.com,M,family,8537,101051.46,
addLawyer,80,Brandon,Huynh,12/5/1964,623Carmel Center,896.148.0354,hstevens@gmail.com,M,traffic,1303,149710.92,
addLawyer,81,Cynthia,Byrd,30/04/1998,289  German Colony,641.306.7539x6346,leenathaniel@gmail.com,F,traffic,7660,56227.84,
addLawyer,82,Matthew,Sanford,19/02/1993,662Downtown Haifa,(811)559-3041,vincenttrevino@williams.com,F,damages,8332,123685.76,
addLawyer,83,Holly,Burns,16/07/1993,690Kiryat Eliezer,(538)288-2639x33846,kristenstevenson@gmail.com,F,damages,2232,79938.32,
addLawyer,84,Gail,French,18/02/1984,18469Neve Sha'anan,857242074,rgarcia@yahoo.com,F,damages,9299,108841.26,
addLawyer,85,Jessica,Hayes,5/4/1990,5067Kiryat Shmuel,892-750-2142,patrickchristine@kerr.com,M,copyright,3797,121103.8,
addLawyer,86,Lisa,Curtis,30/11/1979,59928Ramat HaNasi,884.411.2149x91607,joshuamcdowell@wood-johnson.com,F,family,8242,141800.91,
addLawyer,87,Pamela,Bailey,5/10/1973,32387 Martin Court Suite 700,001-894-653-9301x42576,keithnash@beasley.com,F,realEstate,9619,140388.22,
addLawyer,88,Jennifer,Kelly,16/11/1973,769 Kiara Alley,143-155-5116x921,acollins@hotmail.com,M,criminal,9310,60626.4,
addLawyer,89,Meghan,Mclean,7/3/1965,572 Joshua Valley,7597137728,hward@yahoo.com,M,medicalMalpractice,3329,97032.16,
addLawyer,90,Cristina,Lee,30/08/1967,8961German Colony,(646)332-5469,katherinebaker@beltran.com,M,family,8743,95867.88,
addLawyer,91,Erin,Jones,14/10/1972,6104 Hadar,001-970-209-7804x628,qsmith@gmail.com,F,traffic,2073,68688.02,
addLawyer,92,William,Lee,16/01/1974,623Carmel Center,558.839.7596,marksmichael@serrano-wilson.com,M,realEstate,9739,136707.82,
addLawyer,93,Lauren,Burton,8/6/1985,289  German Colony,(743)783-6397x379,melodygallagher@morse-sanders.com,F,damages,8454,91711.66,
addLawyer,94,Debbie,Brown,10/4/1969,662Downtown Haifa,846.723.9673x29834,brownjames@haney-johnston.biz,M,contractLaw,6409,146399.38,
addLawyer,95,Kathy,Nichols,27/04/1979,690Kiryat Eliezer,602.376.7991x45664,epadilla@hotmail.com,F,medicalMalpractice,5872,50621.28,
addLawyer,96,Michael,Robinson,2/4/1997,18469Neve Sha'anan,886.360.5888x297,mbennett@pierce.info,M,damages,8151,140162.34,
addLawyer,97,Jessica,Williams,1/8/1992,5067Kiryat Shmuel,(934)314-3641x74325,gmatthews@schwartz.com,M,realEstate,6076,74302.61,
addLawyer,98,Chad,Robinson,18/04/1993,59928Ramat HaNasi,001-598-516-9434x940,scottherrera@yahoo.com,M,contractLaw,3226,114067.85,
